name,sex,age,height,weight,team,noc,year,season,sport,medal
Juhamatti Tapio Aaltonen,M,28.0,184,85,Finland,FIN,2014,Winter,Ice Hockey,Bronze
Paavo Johannes Aaltonen,M,28.0,175,64,Finland,FIN,1948,Summer,Gymnastics,Bronze
Paavo Johannes Aaltonen,M,28.0,175,64,Finland,FIN,1948,Summer,Gymnastics,Gold
Paavo Johannes Aaltonen,M,28.0,175,64,Finland,FIN,1948,Summer,Gymnastics,Gold
Paavo Johannes Aaltonen,M,28.0,175,64,Finland,FIN,1948,Summer,Gymnastics,Gold
Paavo Johannes Aaltonen,M,32.0,175,64,Finland,FIN,1952,Summer,Gymnastics,Bronze
Kjetil Andr Aamodt,M,20.0,176,85,Norway,NOR,1992,Winter,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,20.0,176,85,Norway,NOR,1992,Winter,Alpine Skiing,Bronze
Kjetil Andr Aamodt,M,22.0,176,85,Norway,NOR,1994,Winter,Alpine Skiing,Silver
Kjetil Andr Aamodt,M,22.0,176,85,Norway,NOR,1994,Winter,Alpine Skiing,Bronze
Kjetil Andr Aamodt,M,22.0,176,85,Norway,NOR,1994,Winter,Alpine Skiing,Silver
Kjetil Andr Aamodt,M,30.0,176,85,Norway,NOR,2002,Winter,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,30.0,176,85,Norway,NOR,2002,Winter,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,34.0,176,85,Norway,NOR,2006,Winter,Alpine Skiing,Gold
Pepijn Aardewijn,M,26.0,189,72,Netherlands,NED,1996,Summer,Rowing,Silver
Ann Kristin Aarnes,F,23.0,182,64,Norway,NOR,1996,Summer,Football,Bronze
Giovanni Abagnale,M,21.0,198,90,Italy,ITA,2016,Summer,Rowing,Bronze
Jos Luis Abajo Gmez,M,30.0,194,87,Spain,ESP,2008,Summer,Fencing,Bronze
Patimat Abakarova,F,21.0,165,49,Azerbaijan,AZE,2016,Summer,Taekwondo,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179,80,Russia,RUS,2008,Summer,Athletics,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180,83,Belarus,BLR,2008,Summer,Canoeing,Gold
Luc Abalo,M,23.0,182,86,France,FRA,2008,Summer,Handball,Gold
Luc Abalo,M,27.0,182,86,France,FRA,2012,Summer,Handball,Gold
Luc Abalo,M,31.0,182,86,France,FRA,2016,Summer,Handball,Silver
Jouan Patrice Abanda Etong,M,22.0,185,82,Cameroon,CMR,2000,Summer,Football,Gold
Jos Mara Abarca Plotas,M,22.0,186,83,Spain,ESP,1996,Summer,Water Polo,Gold
Stephen Anthony Abas,M,26.0,165,55,United States,USA,2004,Summer,Wrestling,Silver
Alejandro Abascal Garca,M,28.0,181,82,Spain,ESP,1980,Summer,Sailing,Gold
Jos Manuel Abascal Gmez,M,26.0,182,67,Spain,ESP,1984,Summer,Athletics,Bronze
Tamila Rashidovna Abasova,F,21.0,163,60,Russia,RUS,2004,Summer,Cycling,Silver
Jol Marc Abati,M,38.0,190,85,France,FRA,2008,Summer,Handball,Gold
Pter Abay,M,30.0,181,79,Hungary,HUN,1992,Summer,Fencing,Silver
Agostino Abbagnale,M,22.0,188,96,Italy,ITA,1988,Summer,Rowing,Gold
Agostino Abbagnale,M,29.0,188,96,Italy,ITA,1996,Summer,Rowing,Gold
Agostino Abbagnale,M,34.0,188,96,Italy,ITA,2000,Summer,Rowing,Gold
Carmine Abbagnale,M,22.0,182,90,Italy,ITA,1984,Summer,Rowing,Gold
Carmine Abbagnale,M,26.0,182,90,Italy,ITA,1988,Summer,Rowing,Gold
Carmine Abbagnale,M,30.0,182,90,Italy,ITA,1992,Summer,Rowing,Silver
Giuseppe Abbagnale,M,25.0,187,97,Italy,ITA,1984,Summer,Rowing,Gold
Giuseppe Abbagnale,M,29.0,187,97,Italy,ITA,1988,Summer,Rowing,Gold
Giuseppe Abbagnale,M,33.0,187,97,Italy,ITA,1992,Summer,Rowing,Silver
"Desmond ""Des"" Abbott",M,21.0,184,87,Australia,AUS,2008,Summer,Hockey,Bronze
Jeremy Abbott,M,28.0,175,70,United States,USA,2014,Winter,Figure Skating,Bronze
Monica Cecilia Abbott,F,23.0,191,88,United States,USA,2008,Summer,Softball,Silver
Nia Nicole Abdallah,F,20.0,175,56,United States,USA,2004,Summer,Taekwondo,Silver
Saeid Morad Abdevali,M,26.0,170,80,Iran,IRI,2016,Summer,Wrestling,Bronze
Reema Abdo,F,21.0,173,59,Canada,CAN,1984,Summer,Swimming,Bronze
Lala Abdul Rashid,M,38.0,169,91,Pakistan,PAK,1960,Summer,Hockey,Gold
Muhammad Abdul Rashid,M,23.0,181,72,Pakistan,PAK,1964,Summer,Hockey,Silver
Zagalav Abdulbekovich Abdulbekov,M,26.0,160,62,Soviet Union,URS,1972,Summer,Wrestling,Gold
Mukhammad Kadyr Abdullayev,M,26.0,169,63,Uzbekistan,UZB,2000,Summer,Boxing,Gold
Namiq Yadulla Abdullayev,M,25.0,167,55,Azerbaijan,AZE,1996,Summer,Wrestling,Silver
Namiq Yadulla Abdullayev,M,29.0,167,55,Azerbaijan,AZE,2000,Summer,Wrestling,Gold
Julius Shareef Abdur-Rahim,M,23.0,202,104,United States,USA,2000,Summer,Basketball,Gold
Andrey Khakimovich Abduvaliyev,M,26.0,190,125,Unified Team,EUN,1992,Summer,Athletics,Gold
Masashi Abe,M,28.0,175,64,Japan,JPN,1994,Winter,Nordic Combined,Gold
Addis Abebe,M,21.0,160,50,Ethiopia,ETH,1992,Summer,Athletics,Bronze
Clarence John Abel,M,23.0,185,102,United States,USA,1924,Winter,Ice Hockey,Silver
Irene Abel,F,19.0,160,48,East Germany,GDR,1972,Summer,Gymnastics,Silver
Jennifer Abel,F,20.0,160,62,Canada,CAN,2012,Summer,Diving,Bronze
Gezahgne Abera,M,22.0,166,58,Ethiopia,ETH,2000,Summer,Athletics,Gold
Nils Georg berg,M,19.0,181,78,Sweden,SWE,1912,Summer,Athletics,Bronze
Nils Georg berg,M,19.0,181,78,Sweden,SWE,1912,Summer,Athletics,Silver
Michael Brent Abernathy,M,22.0,182,84,United States,USA,2000,Summer,Baseball,Gold
Elvan Abeylegesse,F,25.0,159,40,Turkey,TUR,2008,Summer,Athletics,Silver
Ismail Abilov (-Nizamolu),M,29.0,172,82,Bulgaria,BUL,1980,Summer,Wrestling,Gold
"Edgar Allen ""Ed"" Ablowich",M,19.0,182,68,United States,USA,1932,Summer,Athletics,Gold
Denis Mikhaylovich Ablyazin,M,19.0,161,62,Russia,RUS,2012,Summer,Gymnastics,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161,62,Russia,RUS,2012,Summer,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161,62,Russia,RUS,2016,Summer,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161,62,Russia,RUS,2016,Summer,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161,62,Russia,RUS,2016,Summer,Gymnastics,Bronze
Viktor Andreyevich Aboimov,M,22.0,190,78,Soviet Union,URS,1972,Summer,Swimming,Silver
Viktor Andreyevich Aboimov,M,22.0,190,78,Soviet Union,URS,1972,Summer,Swimming,Bronze
"Matthew ""Matt"" Abood",M,30.0,197,92,Australia,AUS,2016,Summer,Swimming,Bronze
Attila brahm,M,21.0,192,88,Hungary,HUN,1988,Summer,Canoeing,Bronze
Attila brahm,M,21.0,192,88,Hungary,HUN,1988,Summer,Canoeing,Gold
Attila brahm,M,25.0,192,88,Hungary,HUN,1992,Summer,Canoeing,Silver
Gary Abraham,M,21.0,175,64,Great Britain,GBR,1980,Summer,Swimming,Bronze
Ara Abrahamian,M,29.0,191,84,Sweden,SWE,2004,Summer,Wrestling,Silver
Harold Maurice Abrahams,M,24.0,183,75,Great Britain,GBR,1924,Summer,Athletics,Gold
Harold Maurice Abrahams,M,24.0,183,75,Great Britain,GBR,1924,Summer,Athletics,Silver
Erik Adolf Efraim Abrahamsson,M,22.0,172,61,Sweden,SWE,1920,Summer,Athletics,Bronze
Pavel Sergeyevich Abramov,M,25.0,198,89,Russia,RUS,2004,Summer,Volleyball,Bronze
Nelli Mikhaylovna Abramova,F,24.0,171,60,Soviet Union,URS,1964,Summer,Volleyball,Silver
Yekaterina Konstantinovna Abramova,F,23.0,167,65,Russia,RUS,2006,Winter,Speed Skating,Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,198,93,Spain,ESP,2016,Summer,Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,188,77,Russia,RUS,2008,Summer,Basketball,Bronze
Saypulla Atavovich Absaidov,M,22.0,168,68,Soviet Union,URS,1980,Summer,Wrestling,Gold
Julien Absalon,M,23.0,180,68,France,FRA,2004,Summer,Cycling,Gold
Julien Absalon,M,27.0,180,68,France,FRA,2008,Summer,Cycling,Gold
Ginko Abukawa-Chiba,F,26.0,148,46,Japan,JPN,1964,Summer,Gymnastics,Bronze
Aleksandr Veniaminovich Abushakhmetov,M,25.0,189,81,Soviet Union,URS,1980,Summer,Fencing,Bronze
Magomedgasan Mingazhutdinovich Abushev,M,20.0,170,62,Soviet Union,URS,1980,Summer,Wrestling,Gold
Andreea Roxana Acatrinei,F,16.0,150,40,Romania,ROU,2008,Summer,Gymnastics,Bronze
William Accambray,M,24.0,194,104,France,FRA,2012,Summer,Handball,Gold
Paul Accola,M,20.0,176,82,Switzerland,SUI,1988,Winter,Alpine Skiing,Bronze
Daniel Aceves Villagrn,M,19.0,158,52,Mexico,MEX,1984,Summer,Wrestling,Silver
Alfred Achermann,M,24.0,176,75,Switzerland,SUI,1984,Summer,Cycling,Silver
Abdel Hak Achik,M,29.0,165,54,Morocco,MAR,1988,Summer,Boxing,Bronze
Mohamed Abdelhak Achik,M,27.0,174,57,Morocco,MAR,1992,Summer,Boxing,Bronze
Rita Nikolayevna Achkina,F,30.0,168,63,Soviet Union,URS,1968,Winter,Cross Country Skiing,Bronze
Chantal Achterberg,F,27.0,172,72,Netherlands,NED,2012,Summer,Rowing,Bronze
Chantal Achterberg,F,31.0,172,72,Netherlands,NED,2016,Summer,Rowing,Silver
Paul Douglas Ackerley,M,27.0,179,68,New Zealand,NZL,1976,Summer,Hockey,Gold
Ronny Ackermann,M,24.0,184,69,Germany,GER,2002,Winter,Nordic Combined,Silver
Ronny Ackermann,M,24.0,184,69,Germany,GER,2002,Winter,Nordic Combined,Silver
Ronny Ackermann,M,28.0,184,69,Germany,GER,2006,Winter,Nordic Combined,Silver
Donat Acklin,M,26.0,190,99,Switzerland-1,SUI,1992,Winter,Bobsleigh,Gold
Donat Acklin,M,26.0,190,99,Switzerland-1,SUI,1992,Winter,Bobsleigh,Bronze
Donat Acklin,M,28.0,190,99,Switzerland-1,SUI,1994,Winter,Bobsleigh,Gold
Donat Acklin,M,28.0,190,99,Switzerland-1,SUI,1994,Winter,Bobsleigh,Silver
Lautaro Germn Acosta,M,20.0,168,72,Argentina,ARG,2008,Summer,Football,Gold
Osmay Acosta Duarte,M,23.0,188,91,Cuba,CUB,2008,Summer,Boxing,Bronze
Kazimierz Piotr Adach,M,23.0,162,60,Poland,POL,1980,Summer,Boxing,Bronze
Ji Adam,M,25.0,187,83,Czechoslovakia,TCH,1976,Summer,Modern Pentathlon,Silver
"Michael B. ""Mike"" Adam",M,24.0,175,95,Canada,CAN,2006,Winter,Curling,Gold
Dariusz Adamczuk,M,22.0,179,78,Poland,POL,1992,Summer,Football,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,188,78,United States,USA,1912,Summer,Athletics,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,188,78,United States,USA,1912,Summer,Athletics,Bronze
Adrian Neil Adams,M,21.0,178,78,Great Britain,GBR,1980,Summer,Judo,Silver
Adrian Neil Adams,M,25.0,178,78,Great Britain,GBR,1984,Summer,Judo,Silver
Nicola Virginia Adams,F,29.0,164,51,Great Britain,GBR,2012,Summer,Boxing,Gold
Nicola Virginia Adams,F,33.0,164,51,Great Britain,GBR,2016,Summer,Boxing,Gold
Platt Adams,M,27.0,188,78,United States,USA,1912,Summer,Athletics,Gold
Platt Adams,M,27.0,188,78,United States,USA,1912,Summer,Athletics,Silver
Rachael Alexis Adams,F,26.0,188,81,United States,USA,2016,Summer,Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,164,69,Great Britain,GBR,2014,Winter,Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,193,120,New Zealand,NZL,2008,Summer,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193,120,New Zealand,NZL,2012,Summer,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193,120,New Zealand,NZL,2016,Summer,Athletics,Silver
Filip Kamil Adamski,M,29.0,189,87,Germany,GER,2012,Summer,Rowing,Gold
Jerzy Adamski,M,23.0,171,58,Poland,POL,1960,Summer,Boxing,Silver
Olubayo Adefemi,M,22.0,181,82,Nigeria,NGR,2008,Summer,Football,Silver
"Ayodele ""Dele"" Adeleye",M,19.0,190,80,Nigeria,NGR,2008,Summer,Football,Silver
Ademir Roque Kaefer,M,24.0,179,74,Brazil,BRA,1984,Summer,Football,Silver
Ademir Roque Kaefer,M,28.0,179,74,Brazil,BRA,1988,Summer,Football,Silver
Olapade Charles Adeniken,M,22.0,186,78,Nigeria,NGR,1992,Summer,Athletics,Silver
Adenzia Aparecida Ferreira da Silva,F,25.0,187,65,Brazil,BRA,2012,Summer,Volleyball,Gold
Franck Adisson,M,23.0,180,70,France-1,FRA,1992,Summer,Canoeing,Bronze
Franck Adisson,M,26.0,180,70,France-1,FRA,1996,Summer,Canoeing,Gold
"Richard ""Richy""  Adjei",M,27.0,190,110,Germany-2,GER,2010,Winter,Bobsleigh,Silver
Derrick Ralph Adkins,M,26.0,188,80,United States,USA,1996,Summer,Athletics,Gold
Daniel Adler,M,26.0,180,72,Brazil,BRA,1984,Summer,Sailing,Silver
Egon Adler,M,23.0,172,62,Germany,GER,1960,Summer,Cycling,Silver
"Rebecca ""Becky"" Adlington",F,19.0,179,70,Great Britain,GBR,2008,Summer,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,19.0,179,70,Great Britain,GBR,2008,Summer,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,23.0,179,70,Great Britain,GBR,2012,Summer,Swimming,Bronze
"Rebecca ""Becky"" Adlington",F,23.0,179,70,Great Britain,GBR,2012,Summer,Swimming,Bronze
Dainius Adomaitis,M,26.0,202,100,Lithuania,LTU,2000,Summer,Basketball,Bronze
Nathan Ghar-Jun Adrian,M,19.0,198,100,United States,USA,2008,Summer,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198,100,United States,USA,2012,Summer,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198,100,United States,USA,2012,Summer,Swimming,Silver
Nathan Ghar-Jun Adrian,M,23.0,198,100,United States,USA,2012,Summer,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198,100,United States,USA,2016,Summer,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198,100,United States,USA,2016,Summer,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198,100,United States,USA,2016,Summer,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198,100,United States,USA,2016,Summer,Swimming,Gold
Adriana Aparecida dos Santos,F,25.0,180,61,Brazil,BRA,1996,Summer,Basketball,Silver
Adriana Aparecida dos Santos,F,29.0,180,61,Brazil,BRA,2000,Summer,Basketball,Bronze
"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,170,65,Brazil,BRA,2000,Summer,Basketball,Bronze
Attila Adrovicz,M,30.0,189,87,Hungary,HUN,1996,Summer,Canoeing,Silver
Klaus Aeffke,M,24.0,189,82,Germany,GER,1964,Summer,Rowing,Silver
Kseniya Dmitriyevna Afanasyeva,F,20.0,158,48,Russia,RUS,2012,Summer,Gymnastics,Silver
Maksim Sergeyevich Afinogenov,M,22.0,183,88,Russia,RUS,2002,Winter,Ice Hockey,Bronze
"Olabisi ""Bisi"" Afolabi",F,20.0,180,62,Nigeria,NGR,1996,Summer,Athletics,Silver
Felicia Afrsiloaie (-Jitianu),F,22.0,178,70,Romania,ROU,1976,Summer,Rowing,Bronze
Cecil Sebastian Afrika,M,28.0,175,75,South Africa,RSA,2016,Summer,Rugby Sevens,Bronze
Muhammad Afzal Manna,M,25.0,173,76,Pakistan,PAK,1964,Summer,Hockey,Silver
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193,104,South Africa,RSA,2016,Summer,Rugby Sevens,Bronze
Lavinia Agache (-Carney),F,16.0,148,40,Romania,ROU,1984,Summer,Gymnastics,Gold
Lavinia Agache (-Carney),F,16.0,148,40,Romania,ROU,1984,Summer,Gymnastics,Bronze
Luca Agamennoni,M,24.0,187,93,Italy,ITA,2004,Summer,Rowing,Bronze
Luca Agamennoni,M,27.0,187,93,Italy,ITA,2008,Summer,Rowing,Silver
Andre Kirk Agassi,M,26.0,180,80,United States,USA,1996,Summer,Tennis,Gold
Clarisse Agbegnenou,F,23.0,164,66,France,FRA,2016,Summer,Judo,Silver
Viktor Ivanovich Ageyev,M,20.0,184,80,Soviet Union,URS,1956,Summer,Water Polo,Bronze
Viktor Ivanovich Ageyev,M,24.0,184,80,Soviet Union,URS,1960,Summer,Water Polo,Silver
Viktor Ivanovich Ageyev,M,28.0,184,80,Soviet Union,URS,1964,Summer,Water Polo,Bronze
Marilyn Agliotti,F,29.0,172,58,Netherlands,NED,2008,Summer,Hockey,Gold
Marilyn Agliotti,F,33.0,172,58,Netherlands,NED,2012,Summer,Hockey,Gold
Yannick Agnel,M,20.0,202,90,France,FRA,2012,Summer,Swimming,Gold
Yannick Agnel,M,20.0,202,90,France,FRA,2012,Summer,Swimming,Gold
Yannick Agnel,M,20.0,202,90,France,FRA,2012,Summer,Swimming,Silver
Meghan Christina Agosta (-Marciano),F,18.0,168,67,Canada,CAN,2006,Winter,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23.0,168,67,Canada,CAN,2010,Winter,Ice Hockey,Gold
